iter	Passed	Remaining
0	0	92
1	1	66
2	2	68
3	2	69
4	3	70
5	4	69
6	5	69
7	5	68
8	6	67
9	7	63
10	7	62
11	8	62
12	9	62
13	10	61
14	10	60
15	11	59
16	12	60
17	13	59
18	13	59
19	14	56
20	14	56
21	15	53
22	15	53
23	16	52
24	17	52
25	18	51
26	18	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	47
32	22	46
33	23	46
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	30	40
43	31	39
44	31	38
45	32	37
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
