iter	Passed	Remaining
0	140	140117
1	141	70604
2	143	47743
3	145	36203
4	147	29328
5	149	24733
6	151	21454
7	153	19070
8	155	17171
9	156	15531
10	158	14282
11	160	13229
12	162	12318
13	163	11524
14	164	10794
15	165	10194
16	167	9669
17	168	9200
18	169	8776
19	170	8354
20	171	8011
21	172	7689
22	173	7383
23	174	7105
24	175	6846
25	176	6607
26	177	6383
27	177	6177
28	178	5986
29	179	5799
30	180	5630
31	180	5472
32	181	5323
33	182	5189
34	183	5061
35	184	4938
36	185	4820
37	185	4707
38	186	4601
39	187	4500
40	188	4404
41	189	4313
42	189	4226
43	190	4142
44	191	4062
45	192	3986
46	192	3912
47	193	3843
48	194	3775
49	195	3710
50	195	3639
51	196	3580
52	197	3525
53	198	3471
54	198	3417
55	199	3365
56	200	3311
57	200	3263
58	201	3213
59	202	3167
60	202	3124
61	203	3081
62	204	3040
63	205	3000
64	205	2962
65	206	2924
66	207	2883
67	208	2850
68	208	2817
69	209	2785
70	210	2754
71	211	2721
72	211	2691
73	212	2662
74	213	2630
75	214	2603
76	214	2576
77	215	2549
78	216	2524
79	217	2499
80	218	2474
81	218	2450
82	219	2426
83	220	2403
84	220	2376
85	221	2355
86	222	2334
87	223	2314
88	224	2294
89	224	2273
90	225	2254
91	226	2234
92	227	2215
93	227	2196
94	228	2179
95	229	2161
96	229	2140
97	230	2123
98	231	2106
99	232	2089
100	232	2073
101	233	2057
102	234	2041
103	235	2025
104	235	2006
105	236	1992
106	237	1977
107	237	1963
108	238	1949
109	239	1936
110	240	1922
111	240	1909
112	241	1896
113	242	1884
114	243	1871
115	244	1860
116	244	1848
117	245	1836
118	246	1824
119	247	1812
120	247	1800
121	248	1789
122	248	1774
123	249	1763
124	250	1753
125	250	1739
126	251	1729
127	252	1719
128	253	1708
129	253	1698
130	254	1689
131	255	1679
132	256	1669
133	256	1660
134	257	1650
135	258	1641
136	259	1632
137	259	1623
138	260	1614
139	261	1605
140	262	1597
141	262	1588
142	263	1580
143	264	1571
144	265	1563
145	265	1555
146	266	1547
147	267	1539
148	268	1532
149	268	1524
150	269	1516
151	270	1508
152	271	1501
153	272	1494
154	272	1486
155	273	1479
156	274	1472
157	275	1466
158	275	1459
159	276	1452
160	277	1445
161	278	1439
162	278	1432
163	279	1425
164	280	1419
165	281	1413
166	282	1407
167	282	1401
168	283	1394
169	284	1388
170	285	1382
171	285	1376
172	286	1370
173	287	1364
174	288	1358
175	288	1352
176	289	1346
177	290	1341
178	291	1335
179	292	1330
180	292	1324
181	293	1319
182	294	1314
183	295	1308
184	295	1303
185	296	1298
186	297	1293
187	298	1288
188	299	1284
189	300	1279
190	300	1274
191	301	1269
192	302	1264
193	303	1259
194	304	1255
195	304	1250
196	305	1245
197	306	1242
198	307	1238
199	308	1233
200	309	1229
201	310	1225
202	311	1221
203	311	1217
204	312	1213
205	313	1209
206	314	1206
207	315	1202
208	316	1198
209	317	1194
210	318	1191
211	319	1186
212	320	1182
213	320	1178
214	321	1175
215	322	1171
216	323	1167
217	324	1163
218	325	1160
219	326	1156
220	326	1152
221	327	1148
222	328	1144
223	329	1140
224	329	1136
225	330	1132
226	331	1128
227	332	1124
228	332	1120
229	333	1116
230	334	1112
231	335	1109
232	335	1105
233	336	1101
234	337	1098
235	338	1095
236	339	1092
237	340	1088
238	340	1085
239	341	1081
240	342	1078
241	343	1075
242	343	1071
243	344	1068
244	345	1064
245	346	1061
246	347	1058
247	347	1055
248	348	1051
249	349	1048
250	350	1045
251	351	1042
252	352	1039
253	353	1037
254	354	1034
255	355	1031
256	356	1029
257	356	1026
258	357	1023
259	358	1020
260	359	1017
261	360	1014
262	360	1011
263	361	1008
264	362	1005
265	363	1002
266	364	999
267	364	996
268	365	993
269	366	990
270	367	987
271	368	985
272	369	983
273	370	980
274	370	977
275	371	975
276	372	972
277	373	970
278	374	967
279	375	964
280	375	961
281	376	959
282	377	956
283	378	953
284	379	951
285	379	948
286	380	945
287	381	943
288	382	940
289	383	937
290	383	935
291	384	933
292	385	930
293	386	928
294	387	926
295	388	923
296	389	921
297	390	918
298	390	916
299	391	913
300	392	910
301	392	908
302	393	905
303	394	903
304	395	900
305	395	898
306	396	895
307	397	893
308	398	891
309	399	888
310	400	886
311	401	884
312	401	881
313	402	879
314	403	877
315	404	874
316	404	872
317	405	870
318	406	867
319	407	865
320	408	863
321	408	860
322	409	858
323	410	856
324	411	854
325	412	851
326	412	849
327	413	847
328	414	845
329	415	843
330	416	840
331	416	838
332	417	836
333	418	834
334	419	831
335	419	829
336	420	827
337	421	825
338	422	823
339	422	821
340	423	818
341	424	816
342	425	814
343	425	812
344	426	810
345	427	807
346	428	805
347	428	803
348	429	801
349	430	799
350	431	797
351	431	795
352	432	793
353	433	791
354	434	789
355	435	787
356	435	785
357	436	783
358	437	780
359	438	778
360	438	776
361	439	774
362	440	772
363	441	770
364	441	768
365	442	766
366	443	764
367	444	763
368	445	761
369	446	759
370	447	757
371	447	755
372	448	753
373	449	752
374	450	750
375	450	748
376	451	746
377	452	744
378	453	742
379	453	740
380	454	738
381	455	736
382	456	734
383	457	733
384	457	731
385	458	729
386	459	727
387	460	726
388	461	724
389	461	722
390	462	720
391	463	719
392	464	717
393	465	715
394	465	713
395	466	711
396	467	709
397	468	708
398	468	706
399	469	704
400	470	702
401	471	700
402	471	699
403	472	697
404	473	695
405	474	693
406	474	691
407	475	690
408	476	688
409	477	686
410	477	684
411	478	683
412	479	681
413	480	680
414	481	678
415	482	676
416	483	675
417	483	673
418	484	672
419	485	670
420	486	668
421	486	666
422	487	665
423	488	663
424	489	662
425	490	660
426	490	658
427	491	657
428	492	655
429	493	654
430	494	652
431	495	650
432	495	649
433	496	647
434	497	646
435	498	644
436	498	642
437	499	641
438	500	639
439	501	637
440	501	636
441	502	634
442	503	633
443	504	631
444	505	629
445	505	628
446	506	626
447	507	625
448	508	623
449	509	622
450	510	620
451	510	619
452	511	617
453	512	616
454	513	614
455	514	613
456	514	611
457	515	610
458	516	608
459	517	607
460	518	605
461	518	604
462	519	602
463	520	601
464	521	599
465	521	598
466	522	596
467	523	594
468	524	593
469	525	592
470	526	590
471	527	589
472	527	588
473	528	586
474	529	585
475	530	583
476	531	582
477	531	580
478	532	579
479	533	577
480	534	576
481	535	575
482	535	573
483	536	572
484	537	570
485	538	569
486	539	567
487	540	566
488	541	565
489	542	564
490	543	562
491	543	561
492	544	560
493	545	558
494	546	557
495	547	556
496	548	555
497	549	553
498	550	552
499	551	551
500	552	549
501	552	548
502	553	547
503	554	545
504	555	544
505	556	543
506	557	541
507	558	540
508	558	539
509	559	537
510	560	536
511	561	534
512	562	533
513	562	532
514	563	530
515	564	529
516	565	528
517	566	527
518	567	525
519	568	524
520	569	523
521	570	521
522	571	521
523	572	519
524	573	518
525	573	517
526	574	515
527	575	514
528	576	513
529	577	511
530	578	510
531	578	509
532	579	507
533	580	506
534	581	505
535	581	503
536	582	502
537	583	500
538	584	499
539	584	498
540	585	496
541	586	495
542	587	494
543	588	493
544	589	491
545	589	490
546	590	489
547	591	487
548	592	486
549	592	485
550	593	483
551	594	482
552	595	481
553	596	479
554	596	478
555	597	477
556	598	475
557	599	474
558	599	473
559	600	471
560	601	470
561	602	469
562	603	468
563	603	466
564	604	465
565	605	464
566	606	462
567	606	461
568	607	460
569	608	459
570	609	457
571	610	456
572	610	455
573	611	453
574	612	452
575	613	451
576	613	450
577	614	448
578	615	447
579	616	446
580	616	444
581	617	443
582	618	442
583	619	441
584	619	439
585	620	438
586	621	437
587	622	436
588	623	434
589	623	433
590	624	432
591	625	430
592	626	429
593	626	428
594	627	427
595	628	425
596	628	424
597	629	423
598	630	422
599	631	420
600	632	419
601	632	418
602	633	417
603	634	415
604	635	414
605	636	413
606	636	412
607	637	410
608	638	409
609	639	408
610	639	407
611	640	406
612	641	404
613	642	403
614	642	402
615	643	401
616	644	399
617	645	398
618	645	397
619	646	396
620	647	395
621	647	393
622	648	392
623	649	391
624	650	390
625	651	389
626	651	387
627	652	386
628	653	385
629	654	384
630	655	383
631	655	381
632	656	380
633	657	379
634	658	378
635	658	377
636	659	375
637	660	374
638	660	373
639	661	372
640	662	371
641	663	369
642	664	368
643	664	367
644	665	366
645	666	365
646	667	364
647	668	362
648	668	361
649	669	360
650	670	359
651	671	358
652	672	357
653	672	355
654	673	354
655	674	353
656	674	352
657	675	351
658	676	350
659	677	348
660	677	347
661	678	346
662	679	345
663	680	344
664	681	343
665	682	342
666	682	340
667	683	339
668	684	338
669	685	337
670	686	336
671	687	335
672	688	334
673	689	333
674	689	332
675	690	330
676	691	329
677	692	328
678	692	327
679	693	326
680	694	325
681	694	324
682	695	322
683	696	321
684	697	320
685	698	319
686	699	318
687	700	317
688	701	316
689	701	315
690	702	314
691	703	313
692	704	311
693	704	310
694	705	309
695	706	308
696	707	307
697	707	306
698	708	305
699	709	303
700	710	302
701	711	301
702	711	300
703	712	299
704	713	298
705	714	297
706	714	296
707	715	295
708	716	294
709	717	292
710	717	291
711	718	290
712	719	289
713	720	288
714	720	287
715	721	286
716	722	285
717	723	284
718	723	282
719	724	281
720	725	280
721	726	279
722	727	278
723	728	277
724	729	276
725	730	275
726	730	274
727	731	273
728	732	272
729	733	271
730	733	270
731	734	268
732	735	267
733	736	266
734	736	265
735	737	264
736	738	263
737	739	262
738	739	261
739	740	260
740	741	259
741	742	258
742	743	257
743	744	256
744	744	254
745	745	253
746	746	252
747	747	251
748	748	250
749	748	249
750	749	248
751	750	247
752	751	246
753	751	245
754	752	244
755	753	243
756	754	242
757	754	240
758	755	239
759	756	238
760	757	237
761	758	236
762	758	235
763	759	234
764	760	233
765	761	232
766	761	231
767	762	230
768	763	229
769	764	228
770	764	227
771	765	226
772	766	225
773	767	224
774	767	222
775	768	221
776	769	220
777	770	219
778	771	218
779	771	217
780	772	216
781	773	215
782	774	214
783	775	213
784	775	212
785	776	211
786	777	210
787	777	209
788	778	208
789	779	207
790	780	206
791	780	205
792	781	204
793	782	203
794	783	201
795	783	200
796	784	199
797	785	198
798	786	197
799	787	196
800	787	195
801	788	194
802	789	193
803	790	192
804	791	191
805	792	190
806	793	189
807	793	188
808	794	187
809	795	186
810	795	185
811	796	184
812	797	183
813	798	182
814	798	181
815	799	180
816	800	179
817	801	178
818	802	177
819	802	176
820	803	175
821	804	174
822	805	173
823	806	172
824	806	171
825	807	170
826	808	169
827	809	168
828	809	167
829	810	166
830	811	165
831	812	163
832	812	162
833	813	161
834	814	160
835	815	159
836	815	158
837	816	157
838	817	156
839	818	155
840	818	154
841	819	153
842	820	152
843	821	151
844	822	150
845	823	149
846	823	148
847	824	147
848	825	146
849	825	145
850	826	144
851	827	143
852	828	142
853	828	141
854	829	140
855	830	139
856	831	138
857	832	137
858	832	136
859	833	135
860	834	134
861	835	133
862	835	132
863	836	131
864	837	130
865	838	129
866	838	128
867	839	127
868	840	126
869	841	125
870	842	124
871	842	123
872	843	122
873	844	121
874	845	120
875	845	119
876	846	118
877	847	117
878	848	116
879	848	115
880	849	114
881	850	113
882	851	112
883	852	111
884	852	110
885	853	109
886	854	108
887	855	107
888	855	106
889	856	105
890	857	104
891	858	103
892	858	102
893	859	101
894	860	100
895	861	99
896	861	98
897	862	97
898	863	96
899	864	96
900	864	95
901	865	94
902	866	93
903	867	92
904	868	91
905	869	90
906	869	89
907	870	88
908	871	87
909	872	86
910	872	85
911	873	84
912	874	83
913	875	82
914	875	81
915	876	80
916	877	79
917	878	78
918	878	77
919	879	76
920	880	75
921	881	74
922	881	73
923	882	72
924	883	71
925	884	70
926	885	69
927	886	68
928	887	67
929	887	66
930	888	65
931	889	64
932	890	63
933	890	62
934	891	61
935	892	61
936	893	60
937	893	59
938	894	58
939	895	57
940	896	56
941	896	55
942	897	54
943	898	53
944	899	52
945	900	51
946	900	50
947	901	49
948	902	48
949	903	47
950	903	46
951	904	45
952	905	44
953	906	43
954	906	42
955	907	41
956	908	40
957	908	39
958	909	38
959	910	37
960	911	36
961	911	36
962	912	35
963	913	34
964	914	33
965	914	32
966	915	31
967	916	30
968	917	29
969	918	28
970	918	27
971	919	26
972	920	25
973	921	24
974	922	23
975	923	22
976	923	21
977	924	20
978	925	19
979	926	18
980	927	17
981	927	17
982	928	16
983	929	15
984	930	14
985	931	13
986	932	12
987	933	11
988	933	10
989	934	9
990	935	8
991	936	7
992	937	6
993	937	5
994	938	4
995	939	3
996	940	2
997	941	1
998	941	0
999	942	0
